127.0.0.1 - - [06/Dec/2017:20:39:24 +0800] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:39:25 +0800] "GET /Project_BugTracker/web/index.jsp HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:39:25 +0800] "GET /favicon.ico HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:39:30 +0800] "GET /MiniTracker/Attribute.jsp HTTP/1.1" 200 2086
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:39:30 +0800] "GET /MiniTracker/js/Attribute.js HTTP/1.1" 200 4826
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:39:30 +0800] "POST /MiniTracker/AttributeGroup.do HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:39:30 +0800] "POST /MiniTracker/Attribute.do HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:39:32 +0800] "POST /MiniTracker/Attribute.do HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:39:32 +0800] "POST /MiniTracker/Attribute.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:39:32 +0800] "POST /MiniTracker/Attribute.do HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:39:32 +0800] "POST /MiniTracker/Attribute.do HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:39:34 +0800] "POST /MiniTracker/Attribute.do HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:39:34 +0800] "POST /MiniTracker/Attribute.do HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:39:34 +0800] "POST /MiniTracker/Attribute.do HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:39:34 +0800] "POST /MiniTracker/Attribute.do HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:39:37 +0800] "POST /MiniTracker/Attribute.do HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:39:37 +0800] "POST /MiniTracker/Attribute.do HTTP/1.1" 200 9
0:0:0:0:0:0:0:1 - - [06/Dec/2017:20:39:37 +0800] "POST /MiniTracker/Attribute.do HTTP/1.1" 200 2
